"sire";"fat";"protein"
14;4.19;3.34
2;4.02;3.22
2;4.19;3.29
3;3.64;3.3
2;5.62;4.05
9;3.53;2.91
23;4.63;3.35
13;4.29;3.23
16;4.38;3.58
16;4.36;3.54
14;3.82;3.22
15;3.75;3.21
16;3.99;3.04
17;4.53;3.44
2;4.58;3.56
13;4.71;3.36
7;3.89;3.35
7;3.92;3.18
26;3.77;3.12
5;3.48;3.19
9;4.08;3.34
19;3.69;3.05
3;4.38;3.43
16;4.96;3.82
20;4.44;3.61
19;4.29;3.18
19;4.03;3.15
18;3.78;3.32
6;4.78;3.27
2;4.71;3.75
2;4.31;3.44
19;4.07;3.2
11;4.27;3.19
6;3.98;3.26
10;4.23;3.15
2;4.22;3.19
27;4.23;3.23
2;4.51;3.58
25;4.3;3.18
3;4.05;3.11
3;4.55;3.32
19;4;3.29
2;4.72;3.76
10;4.02;3.29
29;4.38;3.09
25;4.07;3.39
2;4.38;3.35
2;4.54;3.3
15;4.25;3.24
15;3.94;3.12
15;4.29;3.32
14;4.21;2.96
14;3.98;2.98
14;4.19;2.88
24;4.54;3.36
24;4.15;3.23
24;5.19;3.38
19;4.26;3.39
13;3.13;3.54
7;4.54;3.27
7;4.2;3.04
20;4.14;3.28
16;4.45;3.37
27;4.5;3.09
27;4.29;2.83
13;4.07;3.18
2;3.92;3.2
2;4.71;3.49
2;4.46;3.49
2;3.84;3.33
16;4.63;3.6
7;3.64;3.13
2;3.8;3.42
25;4.84;3.38
3;3.91;3.02
6;3.86;3.15
17;4.15;3.3
17;3.64;3.14
19;4.13;3.28
13;4.62;3.49
7;4.04;3.43
13;3.81;2.99
16;4.51;3.15
27;4.86;3.42
22;3.52;3.11
16;3.95;3.31
16;4.06;3.5
16;4.23;3.54
16;4.35;3.5
16;4.71;3.64
2;4.43;3.22
7;4.21;3.11
10;4.36;3.34
18;4.47;3.3
18;4.69;3.56
13;4.34;3.33
7;3.7;3.01
6;3.96;3.41
2;4.06;3.3
16;3.76;3.14
17;3.78;3.05
21;4.87;3.32
26;4.14;3.22
7;4.36;3.12
21;5.49;3.7
17;4.6;3.31
10;4.58;3.21
10;3.92;3.08
25;4.52;3.44
7;4.96;3.56
10;4.28;3.18
20;3.65;2.76
20;3.65;3.14
25;4.27;3.17
4;4.2;3.31
6;4.85;3.46
20;4.09;3.25
20;5.24;3.61
29;4.61;3.29
15;4.37;3.32
16;4.66;3.58
17;5;3.6
6;4.64;3.53
2;4.36;3.37
2;4.47;3.55
15;4.24;3.34
7;3.81;3.25
7;4.18;3.38
2;3.77;3.08
23;3.93;3.12
23;3.35;3.05
23;4.05;3.1
7;4.46;3.53
7;4.14;3.23
7;4.3;3.05
7;3.77;2.92
20;4.05;3.1
21;4.5;3.52
21;4.02;3.29
17;4.65;3.26
22;3.38;2.9
16;4.64;3.56
16;4.86;3.57
16;4.42;3.31
27;4.22;3.34
7;4.29;3.21
18;3.9;3
18;4.09;3.11
9;3.85;3.05
8;4.16;3.29
2;3.98;3.08
7;4.69;3.42
4;4.48;3.63
7;4.66;3.25
25;3.69;3.34
25;3.42;3.06
15;4.23;3.54
23;5.06;3.26
23;3.96;3.22
20;4.19;3.18
19;4.37;3.4
16;4.72;3.49
22;3.85;3.08
15;4.7;3.34
16;4.79;3.21
2;4.18;3.12
4;4.49;3.14
4;4.57;3.16
4;5.23;3.74
11;4.38;3.11
11;4.6;3.44
20;4.6;3.48
5;3.91;2.96
13;4.53;3.23
16;4.61;3.72
25;3.89;3.21
19;3.78;3.12
2;4.43;3.56
2;3.99;3.36
16;3.93;3.26
20;4.62;3.1
11;4.44;3.26
7;3.87;3.15
20;3.51;2.99
11;3.99;3.06
16;3.65;3.14
7;4.73;3.42
10;3.68;2.86
10;4.25;3.29
16;4.35;3.13
20;4.6;3.19
9;4.62;3.2
22;4.02;3.26
26;3.98;3.22
13;3.9;3.26
13;4.41;3.07
13;3.98;3.43
13;3.61;3.44
16;4.3;3.39
19;3.9;3.17
16;3.48;3.26
15;3.84;3.21
15;3.99;3.16
11;3.94;3.17
16;4.25;3.63
25;3.7;3.09
13;4.03;3.03
10;3.89;3.11
13;4.21;3.18
13;3.87;3.07
2;4.14;3.31
7;4.03;3.19
7;5.05;3.63
2;3.73;3.47
15;3.58;3.19
10;4.29;3.15
21;4.78;3.02
14;3.94;3.19
14;4.65;3.35
14;4.95;3.25
26;5.58;3.81
11;3.92;3.33
27;4.24;3.4
4;5.14;3.22
10;4.28;3.46
10;4.17;3.27
25;3.76;3.12
25;4.01;3.14
23;4.7;3.15
2;3.84;3.02
13;3.68;3.13
2;3.77;3.34
19;3.61;2.84
19;3.68;3.33
7;4.3;3.28
3;4.33;3.45
6;4.1;2.95
10;4.39;3.55
29;4.66;3.5
29;4.74;3.39
29;4.81;3.31
29;5.45;3.67
29;4.37;3.04
6;4.06;3.31
15;4.08;3.31
13;4.41;3.12
13;3.85;3.24
6;4.49;3.33
7;4.15;3.3
13;4.42;3.39
22;3.74;3.33
22;3.31;3.38
27;3.58;3.25
7;4.08;3.16
13;4.16;3.2
16;5.1;3.5
16;4.49;3.33
11;4.71;3.2
11;3.96;3.23
7;3.87;2.95
5;3.93;3.25
7;4.32;3.03
7;4.65;3.39
22;3.81;3.36
7;4.17;3.18
7;4.25;3.09
7;4.46;3.41
7;4.97;3.6
7;4.13;3.3
7;4.64;3.25
23;4.78;3.5
20;4.18;3.1
5;3.92;2.99
5;3.48;3.06
6;4.59;3.15
6;3.89;3.05
7;4.4;3.33
22;4.43;3.33
19;3.7;3.13
2;4.9;3.38
16;4.1;3.39
2;4.44;3.18
2;4.44;3.49
2;4.07;3.26
16;4.57;3.58
2;4.63;3.54
2;4.91;3.58
4;4.66;3.21
2;4.14;3.4
2;4.86;3.25
2;3.9;3.26
2;4.38;3.22
4;4.57;3.55
16;4.58;3.29
2;4.2;3.34
2;3.98;3.3
2;3.96;3.17
